ranking_id,category_ja,category_en,category_zh_tw,category_zh_cn,ranking_name_ja,ranking_name_en,ranking_name_zh_tw,ranking_name_zh_cn,display_title_ja,display_title_en,display_title_zh_tw,display_title_zh_cn,short_desc_ja,short_desc_en,short_desc_zh_tw,short_desc_zh_cn,value_ja,value_en,value_zh_tw,value_zh_cn,source_name,unit,calculation_method,caution_ja,caution_en,caution_zh_tw,caution_zh_cn,priority,status
world_rice_production,数字で見る世界の米,World rice in numbers,用數字看世界稻米,用数字看世界稻米,世界の米生産量ランキング,World rice production ranking,全球稻米生產量排行,全球稻米生产量排行,米をたくさん作る国 TOP10,Top 10 countries producing the most rice,稻米生產量最多的國家 TOP10,稻米生产量最多的国家 TOP10,世界で米を多く作っている国を紹介します。米大国の背景には、人口、気候、水田面積、農業政策などがあります。,"Introduces the countries that produce the most rice. Major rice-producing countries are shaped by population, climate, paddy area, and agricultural policy.",介紹全球稻米生產量較高的國家。稻米大國的背景與人口、氣候、水田面積、農業政策等有關。,介绍全球稻米生产量较高的国家。稻米大国的背景与人口、气候、水田面积、农业政策等有关。,米大国がわかる,Shows the major rice-producing countries,了解主要稻米生產大國,了解主要稻米生产大国,FAOSTAT,tonnes,"Rice, paddy / Production Quantity",籾米ベースか精米換算かなど、指標定義を固定して表示する。,"Fix and display the indicator definition, such as paddy rice or milled-rice equivalent.",需固定並顯示指標定義，例如稻穀基準或白米換算。,需固定并显示指标定义，例如稻谷基准或大米换算。,high,active
world_rice_consumption,数字で見る世界の米,World rice in numbers,用數字看世界稻米,用数字看世界稻米,世界の米消費量ランキング,World rice consumption ranking,全球稻米消費量排行,全球稻米消费量排行,米をたくさん食べる国 TOP10,Top 10 countries consuming the most rice,稻米消費量最多的國家 TOP10,稻米消费量最多的国家 TOP10,国全体でどれだけ米を消費しているかを比較します。人口の多い国が上位になりやすいため、世界の米需要を見るランキングとして使います。,"Compares total rice consumption by country. Because populous countries tend to rank high, this ranking shows where global rice demand is concentrated.",比較各國整體稻米消費量。人口較多的國家容易排名靠前，因此適合用來觀察全球稻米需求集中地。,比较各国整体稻米消费量。人口较多的国家容易排名靠前，因此适合用来观察全球稻米需求集中地。,米を大量に食べる国がわかる,Shows where total rice demand is concentrated,了解全球稻米需求集中在哪些國家,了解全球稻米需求集中在哪些国家,USDA PSD Online / FAO Food Balance Sheets,"1,000 tonnes",Domestic Consumption or Food supply quantity,総量ランキングのため、人口の影響を強く受ける。,This is a total-volume ranking and is strongly affected by population size.,這是總量排行，會受到人口規模強烈影響。,这是总量排行，会受到人口规模强烈影响。,high,active
world_rice_consumption_per_capita,数字で見る世界の米,World rice in numbers,用數字看世界稻米,用数字看世界稻米,1人あたり米消費量ランキング,Per-capita rice consumption ranking,人均稻米消費量排行,人均稻米消费量排行,1人あたり米をよく食べる国 TOP10,Top 10 countries by rice consumption per person,人均稻米消費量最高的國家 TOP10,人均稻米消费量最高的国家 TOP10,1人が年間どれくらい米を食べているかを比較します。国の人口規模ではなく、米文化の濃さが見えやすいランキングです。,Compares how much rice one person consumes in a year. It highlights the depth of rice culture rather than the size of the population.,比較每人每年大約消費多少稻米。比起國家人口規模，更能看出稻米文化的濃厚程度。,比较每人每年大约消费多少稻米。比起国家人口规模，更能看出稻米文化的浓厚程度。,米文化の濃さがわかる,Shows how deeply rice is embedded in food culture,看出稻米文化的濃厚程度,看出稻米文化的浓厚程度,FAO Food Balance Sheets,kg/person/year,Food supply quantity kg/capita/year,供給量ベースであり、実際に食べた量とは完全には一致しない。,This is based on food supply and may not exactly match actual intake.,此為食物供給量基準，不一定完全等於實際攝取量。,此为食物供给量基准，不一定完全等于实际摄入量。,high,active
world_rice_exports,貿易で見る世界の米,World rice trade,從貿易看世界稻米,从贸易看世界稻米,世界の米輸出国ランキング,World rice exporter ranking,全球稻米出口國排行,全球稻米出口国排行,米を世界に売る国 TOP10,Top 10 countries exporting rice,向世界出口稻米的國家 TOP10,向世界出口稻米的国家 TOP10,米を世界に供給している国を紹介します。国際米市場、価格変動、輸出規制の話につながります。,"Introduces the countries supplying rice to global markets, linking to trade, prices, and export restrictions.",介紹向國際市場供應稻米的國家，並可延伸到貿易、價格與出口限制等話題。,介绍向国际市场供应稻米的国家，并可延伸到贸易、价格与出口限制等话题。,米を世界に売る国がわかる,Shows the countries supplying rice to the world,了解向全球供應稻米的國家,了解向全球供应稻米的国家,USDA PSD Online / FAOSTAT Trade,"1,000 tonnes",Exports,精米換算、籾米換算など、出典により定義が異なる場合がある。,"Definitions may differ by source, such as milled-rice equivalent or paddy equivalent.",不同來源可能使用白米換算或稻穀換算等不同定義。,不同来源可能使用大米换算或稻谷换算等不同定义。,high,active
world_rice_imports,貿易で見る世界の米,World rice trade,從貿易看世界稻米,从贸易看世界稻米,世界の米輸入国ランキング,World rice importer ranking,全球稻米進口國排行,全球稻米进口国排行,米を海外から買う国 TOP10,Top 10 countries importing rice,從海外購買稻米的國家 TOP10,从海外购买稻米的国家 TOP10,米を海外から多く買っている国を紹介します。人口、気候、国内農業、食料安全保障との関係が見えてきます。,"Introduces countries that import large amounts of rice, revealing links with population, climate, domestic agriculture, and food security.",介紹大量進口稻米的國家，可看出與人口、氣候、國內農業和糧食安全的關係。,介绍大量进口稻米的国家，可看出与人口、气候、国内农业和粮食安全的关系。,米を海外に頼る国がわかる,Shows countries relying on imported rice,了解仰賴進口稻米的國家,了解依赖进口稻米的国家,USDA PSD Online / FAOSTAT Trade,"1,000 tonnes",Imports,年によって順位が変動しやすい。,Rankings can change significantly by year.,排名可能因年份而大幅變動。,排名可能因年份而大幅变动。,high,active
world_rice_area_harvested,数字で見る世界の米,World rice in numbers,用數字看世界稻米,用数字看世界稻米,世界の米作付・収穫面積ランキング,World rice harvested area ranking,全球稻米收穫面積排行,全球稻米收获面积排行,米づくりの面積が広い国 TOP10,Top 10 countries by rice harvested area,稻米收穫面積最大的國家 TOP10,稻米收获面积最大的国家 TOP10,米づくりに使われている面積を比較します。生産量と一緒に見ることで、国ごとの農業の特徴がわかります。,"Compares harvested area for rice. Viewed together with production, it reveals differences in agricultural structure by country.",比較稻米的收穫面積。與生產量一起觀察，可以看出各國農業特徵。,比较稻米的收获面积。与生产量一起观察，可以看出各国农业特征。,米づくりの広さがわかる,Shows the scale of land used for rice cultivation,了解稻米栽培面積的規模,了解稻米栽培面积的规模,FAOSTAT,ha,Area harvested,収穫面積ベース。二期作・三期作の地域では実農地面積より大きく見える場合がある。,"Based on harvested area. In double- or triple-cropping regions, it may exceed physical land area.",以收穫面積為基準。在二期作或三期作地區，可能大於實際農地面積。,以收获面积为基准。在二季作或三季作地区，可能大于实际农地面积。,high,active
world_rice_yield,数字で見る世界の米,World rice in numbers,用數字看世界稻米,用数字看世界稻米,米の単収ランキング,Rice yield ranking,稻米單位面積產量排行,稻米单位面积产量排行,1haあたり米を多く収穫する国 TOP10,Top 10 countries by rice yield per hectare,每公頃稻米產量最高的國家 TOP10,每公顷稻米产量最高的国家 TOP10,1haあたりどれくらい米を収穫できるかを比較します。品種、農業技術、水管理、栽培環境の違いが見えてきます。,"Compares rice harvest per hectare. It highlights differences in varieties, farming technology, water management, and growing conditions.",比較每公頃可收穫多少稻米，可看出品種、農業技術、水管理與栽培環境的差異。,比较每公顷可收获多少稻米，可看出品种、农业技术、水管理与栽培环境的差异。,農業技術・収量性が見える,Shows yield performance and agricultural productivity,看出農業技術與產量表現,看出农业技术与产量表现,FAOSTAT / Our World in Data,tonnes/ha or kg/ha,Yield,生産規模が小さい国・地域は、単収が極端に高く見える場合がある。,Countries or territories with small production areas may show unusually high yields.,生產面積較小的國家或地區，單產可能看起來異常偏高。,生产面积较小的国家或地区，单产可能看起来异常偏高。,high,active
world_rice_self_sufficiency,食料安全保障で見る世界の米,Rice and food security,從糧食安全看世界稻米,从粮食安全看世界稻米,世界の米自給率ランキング,World rice self-sufficiency ranking,全球稻米自給率排行,全球稻米自给率排行,米を自国でまかなえる国 TOP10,Top 10 countries by rice self-sufficiency,稻米自給能力最高的國家 TOP10,稻米自给能力最高的国家 TOP10,国内で必要とされる米を、自国の生産でどれくらいまかなえているかを比較します。,Compares how much of domestic rice demand can be covered by domestic production.,比較各國國內所需稻米有多少能由本國生產供應。,比较各国国内所需稻米有多少能由本国生产供应。,食料安全保障につながる,Connects to food security,連結糧食安全議題,连接粮食安全议题,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,%,Production / Domestic utilization * 100,RICE NAVI計算値。計算式、対象年、換算基準を必ず表示する。,"Calculated by RICE NAVI. Display formula, year, and conversion basis.",RICE NAVI 計算值。必須顯示計算式、年份與換算基準。,RICE NAVI 计算值。必须显示计算式、年份与换算基准。,medium,active
world_rice_dependency,食料安全保障で見る世界の米,Rice and food security,從糧食安全看世界稻米,从粮食安全看世界稻米,世界の米依存度ランキング,World rice dependency ranking,全球稻米依存度排行,全球稻米依存度排行,食生活で米の存在感が大きい国 TOP10,Top 10 countries where rice is most important in the diet,飲食中稻米存在感最高的國家 TOP10,饮食中稻米存在感最高的国家 TOP10,その国の食生活が、どれだけ米に支えられているかを比較します。総供給カロリーに占める米由来カロリーの割合を見ます。,"Compares how much a country’s diet depends on rice, using the share of rice-derived calories in total food-supply calories.",比較一個國家的飲食有多大程度依賴稻米，以稻米熱量占總食物供給熱量的比例來看。,比较一个国家的饮食有多大程度依赖稻米，以稻米热量占总食物供给热量的比例来看。,主食としての重要度がわかる,Shows the importance of rice as a staple food,看出稻米作為主食的重要性,看出稻米作为主食的重要性,FAO Food Balance Sheets,%,Rice calories / total food-supply calories * 100,食料供給量ベースであり、実際の摂取量とは完全には一致しない。,Based on food supply and may not exactly match actual intake.,以食物供給量為基準，不一定完全等於實際攝取量。,以食物供给量为基准，不一定完全等于实际摄入量。,medium,active
world_rice_share_in_staples,食料安全保障で見る世界の米,Rice and food security,從糧食安全看世界稻米,从粮食安全看世界稻米,世界の主食に占める米の割合ランキング,Rice share among staple foods ranking,主食中稻米占比排行,主食中稻米占比排行,主食の中で米の割合が高い国 TOP10,Top 10 countries where rice dominates staple foods,主食中稻米占比最高的國家 TOP10,主食中稻米占比最高的国家 TOP10,主食系食品の中で、米がどれくらいの割合を占めているかを比較します。小麦、とうもろこし、いも類などとの違いが見えます。,"Compares the share of rice among staple foods, such as wheat, maize, and roots and tubers.",比較稻米在主食類食品中的占比，可看出與小麥、玉米、薯類等的差異。,比较稻米在主食类食品中的占比，可看出与小麦、玉米、薯类等的差异。,米中心の食文化が見える,Shows how central rice is among staple foods,看出稻米在主食文化中的中心程度,看出稻米在主食文化中的中心程度,FAO Food Balance Sheets,%,Rice calories / staple-food calories * 100,RICE NAVI独自定義。穀類といも類を主食系食品として計算する。,RICE NAVI original definition. Cereals and roots/tubers are treated as staple foods.,RICE NAVI 自行定義。將穀類與薯類作為主食類食品計算。,RICE NAVI 自行定义。将谷类与薯类作为主食类食品计算。,medium,active
